brd_ref,brd_title,customer,item_title,item_desc,modules,domain,team,est_opt,est_likely,est_pess,est_date,est_method,actual_effort,actual_source,completed_date,scope_changed,discipline
AUR-BRD-2024-003,Cihaz Kampanyası Altyapısı,Aurora Telekom,Kampanya motoru taksit planı desteği,Kampanya motoruna taksit sayısı ve komisyon parametreleri eklenmesi,campaign-engine,billing,squad-campaign,8,12,20,10.02.2024,expert,15,timesheet,20.04.2024,false,backend
AUR-BRD-2024-003,Cihaz Kampanyası Altyapısı,Aurora Telekom,Faturada taksit kalemi gösterimi,Aylık faturaya ayrı taksit kalemi ve vergi kırılımı eklenmesi,"billing-core,invoice-render",billing,squad-billing,5,8,14,10.02.2024,expert,9,timesheet,05.04.2024,false,frontend
AUR-BRD-2024-011,Bayi Kanalı Yenileme,Aurora Telekom,Bayi portalında uygunluk sorgusu,Bayinin satış anında abonenin taksitlendirme uygunluğunu sorgulaması,"dealer-portal,integration-hub",sales,squad-channel,6,10,18,05.05.2024,planning-poker,13,project-report,15.07.2024,false,frontend
AUR-BRD-2024-011,Bayi Kanalı Yenileme,Aurora Telekom,Bayi sipariş durumu bildirimi,Bayilere sipariş durum değişikliklerinin bildirim olarak gönderilmesi,"dealer-portal,integration-hub",sales,squad-channel,4,6,10,05.05.2024,planning-poker,8,project-report,30.06.2024,false,backend
AUR-BRD-2024-019,Fatura Deneyimi,Aurora Telekom,Konsolide fatura üretimi,Aynı müşteri altındaki aboneliklerin tek faturada birleştirilmesi,"billing-core,invoice-render",billing,squad-billing,15,22,35,01.08.2024,delphi,28,timesheet,10.11.2024,false,backend
AUR-BRD-2024-019,Fatura Deneyimi,Aurora Telekom,Konsolide fatura PDF şablonu,Konsolide fatura için kurumsal PDF şablonunun hazırlanması,invoice-render,billing,squad-billing,3,5,8,01.08.2024,delphi,4,timesheet,20.09.2024,false,frontend
AUR-BRD-2024-027,Selfcare Yenileme,Aurora Telekom,Selfcare fatura görüntüleme ekranı,Web selfcare üzerinde fatura detay ve kırılım görüntüleme,selfcare-web,digital,squad-digital,6,9,15,15.09.2024,expert,11,timesheet,01.12.2024,false,frontend
AUR-BRD-2024-027,Selfcare Yenileme,Aurora Telekom,Selfcare ödeme entegrasyonu,Selfcare üzerinden kredi kartı ile fatura ödeme akışı,"selfcare-web,payment-adapter",digital,squad-digital,10,14,24,15.09.2024,expert,19,timesheet,20.01.2025,true,backend
AUR-BRD-2025-006,Kurumsal Faturalama,Aurora Telekom,Kurumsal toplu fatura kırılımı,Kurumsal müşteriler için maliyet merkezi bazlı fatura kırılımı,"billing-core,crm-suite",billing,squad-billing,12,18,30,10.01.2025,delphi,24,project-report,15.04.2025,false,backend
AUR-BRD-2025-006,Kurumsal Faturalama,Aurora Telekom,CRM maliyet merkezi yönetimi,CRM üzerinde kurumsal maliyet merkezi tanım ekranları,crm-suite,crm,squad-crm,7,10,16,10.01.2025,expert,10,expert-recall,30.03.2025,false,backend
AUR-BRD-2025-013,Tahsilat İyileştirme,Aurora Telekom,Ödeme sözü akışı,Çağrı merkezi için ödeme sözü kaydı ve takip akışı,"crm-suite,billing-core",collections,squad-crm,5,8,13,20.03.2025,planning-poker,7,timesheet,25.05.2025,false,backend
AUR-BRD-2025-013,Tahsilat İyileştirme,Aurora Telekom,Otomatik hatırlatma SMS entegrasyonu,Geciken faturalar için SMS hatırlatma entegrasyonu,integration-hub,collections,squad-channel,4,6,9,20.03.2025,planning-poker,6,timesheet,10.05.2025,false,backend
AUR-BRD-2025-021,Ürün Kataloğu,Aurora Telekom,Katalogda paket bağımlılık kuralları,Ürün kataloğunda paketler arası bağımlılık ve uyumluluk kuralları,product-catalog,product,squad-catalog,9,13,22,05.06.2025,delphi,17,project-report,20.08.2025,false,backend
AUR-BRD-2025-021,Ürün Kataloğu,Aurora Telekom,Katalog API versiyonlama,Katalog sorgu API'sinde geriye uyumlu versiyonlama,"product-catalog,integration-hub",product,squad-catalog,6,9,14,05.06.2025,expert,12,timesheet,15.09.2025,true,backend
AUR-CR-2025-088,,Aurora Telekom,Ön ödemeli bakiye iadesi,Hat kapatmada kalan bakiyenin iade sürecine aktarılması,"billing-core,crm-suite",billing,squad-billing,,4,,15.07.2025,expert,5,timesheet,20.08.2025,false,backend
AUR-CR-2025-102,,Aurora Telekom,Fatura üst bilgi güncellemesi,Fatura üst bilgisine yasal zorunluluk alanlarının eklenmesi,invoice-render,billing,squad-billing,,2,,01.09.2025,expert,2,timesheet,20.09.2025,false,
AUR-BRD-2025-030,Dijital Onboarding,Aurora Telekom,Uzaktan kimlik doğrulama entegrasyonu,Dijital abonelik için uzaktan kimlik doğrulama servis entegrasyonu,"integration-hub,crm-suite",digital,squad-digital,14,20,34,10.10.2025,delphi,27,project-report,20.01.2026,false,backend
AUR-BRD-2026-007,Kampanya Raporlama,Aurora Telekom,Kampanya performans raporu,Kampanya bazlı satış ve iptal performans raporu,campaign-engine,marketing,squad-campaign,5,7,12,15.02.2026,expert,,,,,
